Dane;symbol_ty;symbol;nazwa
RTA powiat tarnobrzeski;4;RTA;powiat tarnobrzeski
RLA powiat ³añcucki;4;RLA;powiat ³añcucki
SB Bielsko-Bia³a;3;SB;Bielsko-Bia³a
SY Bytom;3;SY;Bytom
SH Chorzów;3;SH;Chorzów
SC Czêstochowa;3;SC;Czêstochowa
SD D¹browa Górnicza;3;SD;D¹browa Górnicza
SG Gliwice;3;SG;Gliwice
SJZ Jastrzêbie-Zdrój;4;SJZ;Jastrzêbie-Zdrój
SJ Jaworzno;3;SJ;Jaworzno
SK Katowice;3;SK;Katowice
SM Mys³owice;3;SM;Mys³owice
SPI Piekary Œl¹skie;4;SPI;Piekary Œl¹skie
SL Ruda Œl¹ska;3;SL;Ruda Œl¹ska
SR Rybnik;3;SR;Rybnik
SI Siemianowice Œl¹skie;3;SI;Siemianowice Œl¹skie
SO Sosnowiec;3;SO;Sosnowiec
SW Œwiêtoch³owice;3;SW;Œwiêtoch³owice
ST Tychy;3;ST;Tychy
SZ Zabrze;3;SZ;Zabrze
SZO ¯ory;4;SZO;¯ory
SBE powiat bêdziñski;4;SBE;powiat bêdziñski
SBI powiat bielski;4;SBI;powiat bielski
SBL powiat bieruñsko-lêdziñski;4;SBL;powiat bieruñsko-lêdziñski
SCI powiat cieszyñski;4;SCI;powiat cieszyñski
SCZ powiat czêstochowski;4;SCZ;powiat czêstochowski
SGL powiat gliwicki;4;SGL;powiat gliwicki
SKL powiat k³obucki;4;SKL;powiat k³obucki
SLU powiat lubliniecki;4;SLU;powiat lubliniecki
SMI powiat miko³owski;4;SMI;powiat miko³owski
SMY powiat myszkowski;4;SMY;powiat myszkowski
SPS powiat pszczyñski;4;SPS;powiat pszczyñski
SRC powiat raciborski;4;SRC;powiat raciborski
SRB powiat rybnicki;4;SRB;powiat rybnicki
STA powiat tarnogórski;4;STA;powiat tarnogórski
SWD powiat wodzis³awski;4;SWD;powiat wodzis³awski
SWZ powiat wodzis³awski;4;SWZ;powiat wodzis³awski
SZA powiat zawierciañski;4;SZA;powiat zawierciañski
SZY powiat ¿ywiecki;4;SZY;powiat ¿ywiecki
TK Kielce;3;TK;Kielce
TBU powiat buski;4;TBU;powiat buski
TJE powiat jêdrzejowski;4;TJE;powiat jêdrzejowski
TKA powiat kazimierski;4;TKA;powiat kazimierski
TKI powiat kielecki;4;TKI;powiat kielecki
TKN powiat konecki;4;TKN;powiat konecki
TOP powiat opatowski;4;TOP;powiat opatowski
TOS powiat ostrowiecki;4;TOS;powiat ostrowiecki
TPI powiat piñczowski;4;TPI;powiat piñczowski
TSA powiat sandomierski;4;TSA;powiat sandomierski
TSK powiat skar¿yski;4;TSK;powiat skar¿yski
TST powiat starachowicki;4;TST;powiat starachowicki
TSZ powiat staszowski;4;TSZ;powiat staszowski
TLW powiat w³oszczowski;4;TLW;powiat w³oszczowski
WO Ostro³êka;3;WO;Ostro³êka
WP P³ock;3;WP;P³ock
WR Radom;3;WR;Radom
WS Siedlce;3;WS;Siedlce
WB Warszawa Bemowo;3;WB;Warszawa Bemowo
WA Warszawa Bia³o³êka;3;WA;Warszawa Bia³o³êka
WD Warszawa Bielany;3;WD;Warszawa Bielany
WE Warszawa Mokotów;3;WE;Warszawa Mokotów
WU Warszawa Ochota;3;WU;Warszawa Ochota
WH Warszawa Praga Pó³noc;3;WH;Warszawa Praga Pó³noc
WF Warszawa Praga Po³udnie;3;WF;Warszawa Praga Po³udnie
WW Warszawa Rembertów, Wilanów, W³ochy;3;WW;Warszawa Rembertów, Wilanów, W³ochy
WI Warszawa Œródmieœcie;3;WI;Warszawa Œródmieœcie
WJ Warszawa Targówek;3;WJ;Warszawa Targówek
WK Warszawa Ursus;3;WK;Warszawa Ursus
WN Warszawa Ursynów;3;WN;Warszawa Ursynów
WT Warszawa Wawer;3;WT;Warszawa Wawer
WX Warszawa Weso³a, ¯oliborz;3;WX;Warszawa Weso³a, ¯oliborz
WY Warszawa Wola;3;WY;Warszawa Wola
WBR powiat bia³obrzeski;4;WBR;powiat bia³obrzeski
WCI powiat ciechanowski;4;WCI;powiat ciechanowski
WG powiat garwoliñski;3;WG;powiat garwoliñski
WGS powiat gostyniñski;4;WGS;powiat gostyniñski
WGM powiat grodziski;4;WGM;powiat grodziski
WGR powiat grójecki;4;WGR;powiat grójecki
WKZ powiat kozienicki;4;WKZ;powiat kozienicki
WL powiat legionowski;3;WL;powiat legionowski
WLI powiat lipski;4;WLI;powiat lipski
WMA powiat makowski;4;WMA;powiat makowski
WM powiat miñski;3;WM;powiat miñski
WML powiat m³awski;4;WML;powiat m³awski
WND powiat nowodworski;4;WND;powiat nowodworski
WOR powiat ostrowski;4;WOR;powiat ostrowski
WOS powiat ostro³êcki;4;WOS;powiat ostro³êcki
WOT powiat otwocki;4;WOT;powiat otwocki
WPI powiat piaseczyñski;4;WPI;powiat piaseczyñski
WPS powiat pruszkowski;4;WPS;powiat pruszkowski
WPR powiat pruszkowski;4;WPR;powiat pruszkowski
WPP powiat pruszkowski;4;WPP;powiat pruszkowski
WPZ powiat przasnyski;4;WPZ;powiat przasnyski
WPY powiat przysuski;4;WPY;powiat przysuski
WPU powiat pu³tuski;4;WPU;powiat pu³tuski
WPL powiat p³ocki;4;WPL;powiat p³ocki
WPN powiat p³oñski;4;WPN;powiat p³oñski
WRA powiat radomski;4;WRA;powiat radomski
WSI powiat siedlecki;4;WSI;powiat siedlecki
WSE powiat sierpecki;4;WSE;powiat sierpecki
WSC powiat sochaczewski;4;WSC;powiat sochaczewski
WSK powiat soko³owski;4;WSK;powiat soko³owski
WSZ powiat szyd³owiecki;4;WSZ;powiat szyd³owiecki
WZ powiat warszawski zachodni;3;WZ;powiat warszawski zachodni
WWE powiat wêgrowski;4;WWE;powiat wêgrowski
WWL powiat wo³omiñski;4;WWL;powiat wo³omiñski
WV powiat wo³omiñski;3;WV;powiat wo³omiñski
WWY powiat wyszkowski;4;WWY;powiat wyszkowski
WZU powiat ¿uromiñski;4;WZU;powiat ¿uromiñski
WZW powiat zwoleñski;4;WZW;powiat zwoleñski
WZY powiat ¿yrardowski;4;WZY;powiat ¿yrardowski
WLS powiat ³osicki;4;WLS;powiat ³osicki
ZK Koszalin;3;ZK;Koszalin
ZSW Œwinoujœcie;4;ZSW;Œwinoujœcie
ZZ Szczecin;3;ZZ;Szczecin
ZS Szczecin;3;ZS;Szczecin
ZBI powiat bia³ogardzki;4;ZBI;powiat bia³ogardzki
ZCH powiat choszczeñski;4;ZCH;powiat choszczeñski
ZDR powiat drawski;4;ZDR;powiat drawski
ZGL powiat goleniowski;4;ZGL;powiat goleniowski
ZGY powiat gryficki;4;ZGY;powiat gryficki
ZGR powiat gryfiñski;4;ZGR;powiat gryfiñski
ZKA powiat kamieñski;4;ZKA;powiat kamieñski
ZKO powiat koszaliñski;4;ZKO;powiat koszaliñski
ZKL powiat ko³obrzeski;4;ZKL;powiat ko³obrzeski
ZMY powiat myœliborski;4;ZMY;powiat myœliborski
ZPL powiat policki;4;ZPL;powiat policki
ZPY powiat pyrzycki;4;ZPY;powiat pyrzycki
ZST powiat stargardzki;4;ZST;powiat stargardzki
ZSD powiat œwidwiñski;4;ZSD;powiat œwidwiñski
ZSZ powiat szczecinecki;4;ZSZ;powiat szczecinecki
ZSL powiat s³awieñski;4;ZSL;powiat s³awieñski
ZWA powiat wa³ecki;4;ZWA;powiat wa³ecki
ZLO powiat ³obeski;4;ZLO;powiat ³obeski
